diag_id,object_id,method,date,temperature,humidity,illumination,defect_found,defect_description,quality_grade,param1,param2,param3,ml_label
1,1,TVK,2021-09-15,-18.6,88.3,112,false,"",допустимо,62.63,,,normal
2,1,PVK,2024-01-29,8,76.6,736,false,"",удовлетворительно,18.97,,,normal
3,1,MFL,2021-03-29,-3,67,119,false,"",удовлетворительно,41,78,,normal
4,2,PVK,2023-12-24,26.5,73.1,571,false,"",удовлетворительно,,,,normal
5,2,UTWM,2021-03-24,-11.8,50.2,857,false,"",допустимо,,,,normal
6,2,PVK,2024-07-02,-16.5,62.9,251,false,"",удовлетворительно,,,,normal
7,2,RGK,2022-12-15,7,80.1,833,false,"",допустимо,,,,normal
8,2,VIBRO,2023-11-06,15.3,37,898,false,"",удовлетворительно,13.43,495.9,,normal
9,3,TVK,2024-11-03,3.4,77.6,528,true,"Термическое повреждение",недопустимо,,,,high
10,3,VIK,2020-08-02,35.5,30.9,655,true,"Механическое повреждение",требует_мер,95.21,,,high
11,3,UTWM,2021-02-23,31.1,32.1,969,false,"",удовлетворительно,,,,normal
12,3,VIK,2021-05-02,16.1,89.8,672,false,"",допустимо,,,,normal
13,3,MFL,2021-09-25,-9.5,39.5,827,false,"",удовлетворительно,43.5,2,,normal
14,3,RGK,2024-05-18,-13.9,68.1,585,false,"",допустимо,,,,normal
15,4,UTWM,2020-01-09,21,56,366,false,"",требует_мер,44.06,,,medium
16,4,VIBRO,2024-10-07,5,68.2,625,true,"Износ подшипников",требует_мер,16.71,51.4,,medium
17,4,TVK,2022-08-19,37.9,30.9,990,false,"",удовлетворительно,,,,normal
18,5,PVK,2023-09-24,31.2,62.6,436,false,"",допустимо,51.49,,,normal
19,5,TVK,2023-09-11,36.8,50.8,603,false,"",допустимо,,,,normal
20,5,UZK,2021-03-02,-7.2,43.4,386,false,"",удовлетворительно,19.59,0.71,,normal
21,5,TFI,2023-02-18,14.3,78.6,165,true,"Незначительное отклонение",удовлетворительно,20.3,,,normal
22,6,MFL,2021-02-21,35.5,81.2,966,false,"",требует_мер,47.7,25,,medium
23,6,MFL,2022-08-16,35.5,57.5,725,false,"",требует_мер,46,37,,medium
24,6,VIK,2022-02-07,5.4,73.5,683,false,"",удовлетворительно,,,,normal
25,6,UTWM,2020-12-13,16,82.1,654,true,"Незначительное отклонение",удовлетворительно,,,,normal
26,6,VIBRO,2024-10-12,23,45.9,964,true,"Дисбаланс ротора",требует_мер,18.79,443.3,,high
27,6,TVK,2021-04-01,29.8,45.5,362,true,"Термическое повреждение",требует_мер,,,,high
28,6,VIK,2020-05-24,-13.7,69.9,533,false,"",удовлетворительно,,,,normal
29,7,RGK,2021-05-16,-9.8,31.9,616,false,"",удовлетворительно,,,,normal
30,7,MPK,2020-06-21,27.5,78.6,142,true,"Скопление дефектов",требует_мер,11.1,,,high
31,7,UZK,2023-11-27,7.4,74.2,197,true,"Внутренняя коррозия",недопустимо,13.53,4.65,,high
32,7,GEO,2024-10-12,22.5,32.4,945,false,"",допустимо,71.21,,,normal
33,7,TFI,2022-12-26,19.3,42.9,411,false,"",допустимо,3.7,,,normal
34,8,PVK,2020-01-05,1.1,54.2,456,true,"Подповерхностная трещина",требует_мер,7.84,,,medium
35,8,VIK,2020-02-26,-8.6,41.9,972,true,"Коррозия поверхности",требует_мер,,,,high
36,8,GEO,2020-01-26,10.4,37.1,702,true,"Незначительное отклонение",удовлетворительно,2.37,,,normal
37,9,PVK,2020-02-03,12.9,85.4,471,false,"",удовлетворительно,,,,normal
38,9,GEO,2022-07-24,21,76.7,448,false,"",удовлетворительно,89.17,,,normal
39,9,RGK,2022-06-25,39.5,39.3,430,false,"",удовлетворительно,86.91,,,normal
40,9,PVK,2021-03-19,19.4,77.3,153,false,"",допустимо,36.68,,,normal
41,9,UTWM,2022-12-10,33.6,66.6,792,true,"Эрозионный износ",требует_мер,92.13,,,medium
42,10,VIBRO,2023-11-11,8,42.1,957,false,"",допустимо,5.83,509,,normal
43,10,UTWM,2021-12-19,38.7,75.9,166,true,"Незначительное отклонение",допустимо,,,,normal
44,10,TFI,2022-05-24,3.7,35.2,814,false,"",удовлетворительно,17.2,,,normal
45,10,TVK,2022-11-14,33.3,83.3,155,false,"",удовлетворительно,74.35,,,normal
46,10,MFL,2024-11-27,13.3,32.3,849,false,"",удовлетворительно,24,4,,normal
47,11,PVK,2024-04-08,19.9,89.2,771,false,"",удовлетворительно,,,,normal
48,11,GEO,2021-12-17,38.5,53.2,378,false,"",удовлетворительно,34.08,,,normal
49,11,UTWM,2023-08-30,-15.8,78.8,776,false,"",удовлетворительно,,,,normal
50,11,UTWM,2021-11-04,-2.1,89.6,912,false,"",допустимо,,,,normal
51,12,MPK,2022-04-26,14.5,74.9,612,false,"",удовлетворительно,70.08,,,normal
52,12,TFI,2022-04-15,33.5,73.6,942,false,"",удовлетворительно,9.9,,,normal
53,12,VIK,2023-10-28,27.2,86.1,745,false,"",удовлетворительно,34.42,,,normal
54,12,VIK,2022-01-08,28.4,68.5,730,true,"Коррозия поверхности",требует_мер,,,,medium
55,12,VIK,2023-02-26,-11.9,89.9,959,false,"",удовлетворительно,,,,normal
56,12,VIBRO,2023-03-09,-5.7,34.7,905,true,"Повышенная вибрация",недопустимо,13.4,478.4,,high
57,13,MFL,2022-08-16,38.7,48.9,530,false,"",удовлетворительно,28.4,73,,normal
58,13,MFL,2023-02-22,-18.2,51.9,857,true,"Механическое повреждение",требует_мер,32.6,84,,medium
59,13,RGK,2023-09-01,39.6,72.5,755,true,"Внутренний дефект",требует_мер,,,,high
60,13,MFL,2023-02-08,13.8,50.4,146,false,"",требует_мер,27.7,34,,medium
61,14,MPK,2020-10-13,-6.2,60.8,334,false,"",допустимо,,,,normal
62,14,PVK,2020-09-22,-5.4,47.8,557,false,"",удовлетворительно,,,,normal
63,15,RGK,2020-05-01,31.8,64.8,449,false,"",допустимо,,,,normal
64,15,VIK,2022-04-17,14.3,53.7,606,false,"",удовлетворительно,,,,normal
65,15,TVK,2020-04-18,30.3,79.8,147,true,"Термическое повреждение",требует_мер,,,,medium
66,15,TVK,2022-03-25,19.4,67.1,762,false,"",удовлетворительно,65.09,,,normal
67,16,MPK,2020-02-23,27.3,51.6,359,false,"",удовлетворительно,20.44,,,normal
68,16,TFI,2022-02-03,13.4,81.6,668,false,"",удовлетворительно,30.1,,,normal
69,16,RGK,2023-01-30,2.6,49,931,false,"",удовлетворительно,55.34,,,normal
70,16,UTWM,2023-05-21,-4.2,43.3,365,false,"",удовлетворительно,10.67,,,normal
71,17,MPK,2021-11-14,-17.8,52.6,991,false,"",требует_мер,,,,medium
72,17,UTWM,2023-01-18,5.6,68.3,581,false,"",допустимо,57.69,,,normal
73,17,RGK,2023-03-21,4.3,36.4,346,true,"Шлаковое включение",требует_мер,,,,high
74,17,VIK,2022-09-02,19.1,31.2,153,false,"",удовлетворительно,8.39,,,normal
75,17,RGK,2024-11-11,-6.8,77.8,424,false,"",допустимо,70.65,,,normal
76,18,GEO,2024-02-14,10.3,63.5,209,false,"",удовлетворительно,57.51,,,normal
77,18,VIK,2022-04-26,-7,78.3,610,true,"Механическое повреждение",требует_мер,,,,high
78,18,UZK,2022-02-27,2.7,89.7,678,false,"",требует_мер,11.68,3.69,,medium
79,18,MPK,2024-04-26,27.7,69.5,443,false,"",удовлетворительно,,,,normal
80,18,GEO,2020-05-31,-12.2,74,780,false,"",удовлетворительно,53.23,,,normal
81,18,VIK,2023-04-25,-12.3,64.7,316,false,"",удовлетворительно,,,,normal
82,19,UZK,2024-05-24,-3.7,37.6,507,false,"",допустимо,17.36,4.49,,normal
83,19,VIK,2022-10-27,-0.9,52.3,435,true,"Механическое повреждение",требует_мер,,,,medium
84,19,UZK,2024-05-17,11.6,38.9,986,false,"",удовлетворительно,6.67,0.77,,normal
85,19,VIBRO,2024-10-07,0.1,65.5,197,false,"",удовлетворительно,7.72,367,,normal
86,19,MFL,2024-05-30,31.6,44.7,635,true,"Механическое повреждение",требует_мер,46.5,10,,medium
87,19,PVK,2022-01-20,-17,33.2,612,false,"",удовлетворительно,51.66,,,normal
88,20,UZK,2023-11-19,19.5,40,504,false,"",удовлетворительно,7.71,1.48,,normal
89,20,GEO,2022-10-20,24.8,34.6,618,false,"",допустимо,18.23,,,normal
90,20,VIK,2022-12-29,23.5,30.3,814,true,"Трещина сварного шва",требует_мер,15.24,,,high
91,20,TVK,2022-06-29,8,87.3,705,false,"",удовлетворительно,53.92,,,normal
92,20,PVK,2020-10-25,21.5,68.1,998,false,"",допустимо,,,,normal
93,20,TVK,2022-02-24,-4.7,82.4,329,false,"",удовлетворительно,76.75,,,normal
94,21,MFL,2022-06-10,25.8,47.1,564,false,"",удовлетворительно,8.2,11,,normal
95,21,UTWM,2023-09-30,29,84.5,221,false,"",удовлетворительно,56.76,,,normal
96,21,VIK,2021-10-02,9.6,81.2,167,false,"",удовлетворительно,96.6,,,normal
97,21,TVK,2022-02-06,23.4,50.2,408,false,"",удовлетворительно,,,,normal
98,21,TVK,2023-07-10,5.9,35.7,518,false,"",удовлетворительно,,,,normal
99,21,PVK,2020-06-21,29.4,78.1,108,false,"",допустимо,,,,normal
100,22,VIBRO,2021-11-26,-16.1,89.1,442,false,"",удовлетворительно,7.53,250.3,,normal
101,22,VIK,2022-07-12,27.4,74.9,282,true,"Механическое повреждение",требует_мер,65.86,,,medium
102,22,PVK,2021-12-20,-10.4,42.9,417,true,"Подповерхностная трещина",требует_мер,15.05,,,medium
103,22,RGK,2022-12-13,-6.1,82.9,764,false,"",удовлетворительно,49.78,,,normal
104,23,RGK,2020-12-31,2,35.3,428,false,"",удовлетворительно,,,,normal
105,23,PVK,2020-09-24,-16.3,58.6,179,false,"",удовлетворительно,13.19,,,normal
106,24,UTWM,2020-12-16,26,85.2,123,false,"",удовлетворительно,,,,normal
107,24,PVK,2020-10-21,0.2,49.3,891,true,"Подповерхностная трещина",требует_мер,5.26,,,high
108,24,MFL,2023-08-06,5.2,69.2,956,true,"Потеря металла",требует_мер,12.7,53,,medium
109,24,VIK,2021-11-14,31.3,80.4,185,false,"",удовлетворительно,,,,normal
110,25,MFL,2022-08-01,6.1,80.9,621,false,"",удовлетворительно,16.3,64,,normal
111,25,TVK,2021-06-08,22.7,43.2,118,true,"Термическое повреждение",требует_мер,93.23,,,medium
112,25,UZK,2022-09-08,1.3,75.3,747,true,"Внутренняя коррозия",требует_мер,11.62,4.41,,medium
113,25,TVK,2021-08-25,-18.3,79.1,885,false,"",удовлетворительно,,,,normal
114,25,TFI,2021-11-08,13,83.6,672,false,"",удовлетворительно,23.4,,,normal
115,25,UTWM,2022-10-31,4.5,72,793,false,"",допустимо,58.04,,,normal
116,25,UTWM,2020-03-31,6.7,80.2,162,false,"",удовлетворительно,8.64,,,normal
117,26,MPK,2024-05-17,7.6,76.7,917,false,"",удовлетворительно,28.83,,,normal
118,26,TVK,2023-01-06,13.6,63.2,308,false,"",удовлетворительно,52.3,,,normal
119,26,GEO,2023-12-16,17.1,74.1,811,false,"",удовлетворительно,,,,normal
120,26,PVK,2020-03-24,-7.4,44,651,false,"",удовлетворительно,38.09,,,normal
121,26,TFI,2023-05-13,21.1,86,511,false,"",допустимо,6.8,,,normal
122,26,MPK,2021-06-08,12.1,42.8,529,false,"",требует_мер,,,,medium
123,27,GEO,2023-12-22,4.1,52.2,819,false,"",допустимо,,,,normal
124,27,PVK,2021-08-11,9,45.6,590,false,"",удовлетворительно,37.19,,,normal
125,27,MPK,2021-11-06,-16.2,80.6,487,false,"",удовлетворительно,,,,normal
126,28,MFL,2020-01-11,-2.4,31.9,341,false,"",допустимо,19.7,57,,normal
127,28,UTWM,2023-05-29,-16.2,88.5,448,true,"Эрозионный износ",требует_мер,90.03,,,medium
128,28,GEO,2022-06-09,27.4,58.7,111,false,"",удовлетворительно,70.43,,,normal
129,28,VIBRO,2022-03-08,10.9,76.2,725,false,"",удовлетворительно,0.87,292.9,,normal
130,28,VIK,2024-08-29,3.4,79.1,231,false,"",удовлетворительно,1.37,,,normal
131,28,PVK,2023-08-03,35.7,72.5,562,true,"Расслоение металла",требует_мер,25.46,,,medium
132,29,MFL,2024-04-07,37.4,61.1,759,false,"",удовлетворительно,11.8,72,,normal
133,29,TFI,2022-09-18,31,87.5,875,false,"",удовлетворительно,12.5,,,normal
134,29,GEO,2024-05-19,30.8,64.6,694,true,"Осадка грунта",требует_мер,47.94,,,high
135,29,VIK,2023-12-02,-4.6,64.2,942,false,"",удовлетворительно,15.5,,,normal
136,29,UZK,2022-10-11,38.6,60.3,866,false,"",удовлетворительно,12.66,4.76,,normal
137,30,TFI,2021-09-29,10.9,52.8,613,true,"Стресс-коррозия",требует_мер,22.8,,,medium
138,30,UZK,2020-04-28,-3.4,50.8,905,false,"",удовлетворительно,17.89,0.99,,normal
139,30,TVK,2022-02-28,20.9,83.7,295,false,"",удовлетворительно,,,,normal
140,30,PVK,2023-01-14,-8,42,431,false,"",удовлетворительно,56.26,,,normal
141,30,UZK,2023-11-26,25.7,64.5,829,false,"",удовлетворительно,7.3,3.75,,normal
142,30,PVK,2022-11-03,-15.7,65.3,623,false,"",допустимо,,,,normal
143,31,UTWM,2024-04-26,6.6,49.4,114,false,"",удовлетворительно,,,,normal
144,31,GEO,2021-09-15,23.1,66.5,728,false,"",удовлетворительно,9.56,,,normal
145,32,VIK,2023-07-01,0.6,34.4,152,false,"",требует_мер,,,,medium
146,32,GEO,2023-05-05,-4.5,50.1,979,true,"Осадка грунта",требует_мер,72.85,,,medium
147,32,UTWM,2020-10-07,1.9,89.9,832,true,"Критическая потеря толщины",недопустимо,58.32,,,high
148,32,VIK,2024-03-10,6.8,36.4,218,false,"",удовлетворительно,99.59,,,normal
149,33,UZK,2020-02-13,-2.2,82.2,570,true,"Язвенная коррозия",требует_мер,7.02,1.17,,high
150,33,RGK,2023-12-27,29.7,67.7,970,false,"",удовлетворительно,5.7,,,normal
151,33,MFL,2022-12-19,7.1,46.2,105,false,"",допустимо,48.7,82,,normal
152,33,PVK,2024-02-16,-15.2,60.3,365,false,"",удовлетворительно,63.16,,,normal
153,33,TVK,2021-12-23,-6.6,33.2,626,false,"",удовлетворительно,87.16,,,normal
154,33,UTWM,2023-04-01,17.5,34.7,255,false,"",удовлетворительно,,,,normal
155,34,PVK,2021-10-17,-5.5,47.3,930,false,"",допустимо,,,,normal
156,34,UTWM,2022-07-10,24.2,49,241,false,"",удовлетворительно,52.25,,,normal
157,35,UZK,2024-09-19,-10.2,83.8,209,true,"Внутренняя коррозия",требует_мер,14.92,2.38,,medium
158,35,GEO,2020-04-20,29.6,74.3,353,false,"",удовлетворительно,43.83,,,normal
159,35,MFL,2023-11-26,17.5,81.8,378,true,"Внешняя коррозия",требует_мер,2.6,6,,medium
160,36,PVK,2023-01-22,-18.3,84.6,995,false,"",удовлетворительно,39.68,,,normal
161,36,MFL,2020-12-29,21.7,60.2,325,false,"",удовлетворительно,24.5,68,,normal
162,36,GEO,2021-07-17,17.8,78.1,163,false,"",допустимо,,,,normal
163,37,TFI,2022-07-26,-16.9,61,527,false,"",допустимо,39.9,,,normal
164,37,TVK,2022-10-04,-18.2,48,342,true,"Зона перегрева",требует_мер,,,,medium
165,37,UZK,2021-05-10,2.2,75.4,890,false,"",удовлетворительно,15.25,1.86,,normal
166,37,TVK,2024-06-02,19.4,58.2,744,false,"",удовлетворительно,69.84,,,normal
167,38,MPK,2022-08-14,6.3,42.8,871,false,"",удовлетворительно,2.55,,,normal
168,38,GEO,2020-03-25,19.3,85.7,646,false,"",удовлетворительно,,,,normal
169,38,MPK,2020-09-07,34.1,81.6,246,false,"",удовлетворительно,97.22,,,normal
170,39,MFL,2021-07-21,24.5,86.9,155,false,"",удовлетворительно,37.2,50,,normal
171,39,MPK,2023-09-26,-8.5,87.2,486,false,"",допустимо,43.25,,,normal
172,39,UTWM,2020-01-25,14.5,41.3,157,true,"Эрозионный износ",требует_мер,,,,medium
173,39,RGK,2024-07-14,2,86.6,281,false,"",допустимо,3.69,,,normal
