object_id,object_name,object_type,pipeline_id,lat,lon,year,material
1,"Переход надземный №1",pipeline_section,MT-02,50.864048,69.771133,1993,Ст3
2,"Переход надземный №2",pipeline_section,MT-01,47.951591,53.497582,1983,09Г2С
3,"Переход подводный №3",pipeline_section,MT-01,52.815453,62.689837,2013,Ст3
4,"Компрессорная станция №4",compressor,MT-03,50.869274,71.673735,1963,09Г2С
5,"Кран подвесной №5",crane,MT-02,48.069438,57.194453,1995,13ХФА
6,"Переход подводный №6",pipeline_section,MT-03,50.897394,71.677769,2018,Ст3
7,"Кран шаровой №7",crane,MT-03,43.31446,76.831432,2019,09Г2С
8,"Переход надземный №8",pipeline_section,MT-02,50.065197,66.208905,1999,Ст3
9,"Задвижка №9",crane,MT-01,50.031658,56.741797,1974,17Г1С
10,"Узел запуска СОД №10",pipeline_section,MT-01,47.377964,52.657159,1987,17Г1С
11,"Переход подводный №11",pipeline_section,MT-02,48.615656,59.933454,2013,09Г2С
12,"Переход подводный №12",pipeline_section,MT-02,50.204258,66.816185,1975,Ст3
13,"Переход надземный №13",pipeline_section,MT-02,48.217193,57.614583,1966,10Г2
14,"Переход надземный №14",pipeline_section,MT-02,47.375202,54.269206,1989,20А
15,"Участок трубопровода №15",pipeline_section,MT-02,48.293146,58.414972,2017,17Г1С
16,"Переход подводный №16",pipeline_section,MT-03,49.83352,72.923394,2020,Ст3
17,"Переход подводный №17",pipeline_section,MT-03,50.671795,72.081621,1993,09Г2С
18,"Участок трубопровода №18",pipeline_section,MT-01,48.101529,53.731835,2004,09Г2С
19,"Узел запуска СОД №19",pipeline_section,MT-03,50.094758,72.597314,2001,09Г2С
20,"Кран шаровой №20",crane,MT-03,49.967903,72.74062,1988,09Г2С
21,"Турбокомпрессор ТВ-80 №21",compressor,MT-03,43.526046,76.641349,2012,Ст3
22,"Переход подводный №22",pipeline_section,MT-03,47.787284,74.186418,1984,13ХФА
23,"Турбокомпрессор ТВ-80 №23",compressor,MT-02,50.026492,65.987583,1998,20А
24,"Переход надземный №24",pipeline_section,MT-03,43.494061,76.629737,1996,10Г2
25,"Компрессорная станция №25",compressor,MT-03,50.945747,71.559247,1962,17Г1С
26,"Участок трубопровода №26",pipeline_section,MT-02,50.551667,68.367241,2012,13ХФА
27,"Кран подвесной №27",crane,MT-01,47.39855,52.717529,1964,Ст3
28,"Задвижка №28",crane,MT-02,44.101421,51.247717,2007,17Г1С
29,"Переход надземный №29",pipeline_section,MT-02,48.557927,59.351664,1986,Ст3
30,"Кран подвесной №30",crane,MT-01,48.105872,53.778068,2004,17Г1С
31,"Кран подвесной №31",crane,MT-01,48.360682,54.158363,2014,17Г1С
32,"Переход надземный №32",pipeline_section,MT-03,47.754061,74.184135,2007,09Г2С
33,"Кран подвесной №33",crane,MT-02,50.962105,70.550585,1979,17Г1С
34,"Переход подводный №34",pipeline_section,MT-01,50.77301,58.286902,1975,17Г1С
35,"Участок трубопровода №35",pipeline_section,MT-02,45.769848,51.687687,2015,10Г2
36,"Переход надземный №36",pipeline_section,MT-03,50.290925,72.370679,2022,09Г2С
37,"Участок трубопровода №37",pipeline_section,MT-02,46.765553,51.909767,2000,10Г2
38,"Переход подводный №38",pipeline_section,MT-01,48.990066,55.192273,2002,13ХФА
39,"Переход надземный №39",pipeline_section,MT-02,47.720414,55.785132,1999,20А
40,"Участок трубопровода №40",pipeline_section,MT-03,51.087317,71.416794,2022,Ст3
41,"Компрессорная станция №41",compressor,MT-03,44.788625,75.873419,2019,09Г2С
42,"Кран запорный №42",crane,MT-02,44.937988,51.461182,1976,20А
43,"Кран шаровой №43",crane,MT-03,50.04729,72.732835,2014,09Г2С
44,"Переход надземный №44",pipeline_section,MT-01,51.020835,58.810868,1983,13ХФА
45,"Переход надземный №45",pipeline_section,MT-03,47.585056,74.287719,1961,20А
46,"Задвижка №46",crane,MT-01,49.745066,56.303323,1981,13ХФА
47,"Задвижка №47",crane,MT-02,44.778876,51.444493,2011,Ст3
48,"Компрессорная станция №48",compressor,MT-02,44.278807,51.372967,2008,10Г2
49,"Участок трубопровода №49",pipeline_section,MT-02,51.094045,70.922442,1963,09Г2С
50,"Узел запуска СОД №50",pipeline_section,MT-02,43.893892,51.294636,2015,20А
51,"Переход подводный №51",pipeline_section,MT-03,45.46792,75.700616,2016,17Г1С
52,"Переход подводный №52",pipeline_section,MT-02,43.655167,51.228857,2003,20А
53,"Переход подводный №53",pipeline_section,MT-03,45.948892,75.334513,1965,10Г2
54,"Турбокомпрессор ТВ-80 №54",compressor,MT-03,50.684709,71.890891,2018,10Г2
55,"Турбокомпрессор ТВ-80 №55",compressor,MT-03,50.232493,72.490647,1998,20А
56,"Переход подводный №56",pipeline_section,MT-03,43.59818,76.765592,2023,10Г2
57,"Задвижка №57",crane,MT-02,45.220192,51.505907,1978,17Г1С
58,"Переход подводный №58",pipeline_section,MT-01,53.0775,63.294331,1993,10Г2
59,"Переход подводный №59",pipeline_section,MT-02,45.045549,51.456365,1969,09Г2С
60,"Задвижка №60",crane,MT-02,44.320676,51.305083,1960,09Г2С
61,"Узел запуска СОД №61",pipeline_section,MT-03,48.720098,73.709455,1976,10Г2
62,"Узел запуска СОД №62",pipeline_section,MT-03,50.585616,72.193806,2008,10Г2
63,"Задвижка №63",crane,MT-03,44.376358,76.169292,2019,09Г2С
64,"Узел запуска СОД №64",pipeline_section,MT-02,45.077727,51.47782,2009,20А
65,"Переход подводный №65",pipeline_section,MT-01,47.217661,52.361125,2019,10Г2
66,"Узел запуска СОД №66",pipeline_section,MT-02,46.501948,51.757508,2009,20А
67,"Узел запуска СОД №67",pipeline_section,MT-02,45.600435,51.648566,2021,20А
68,"Переход подводный №68",pipeline_section,MT-03,50.92612,71.629421,2021,13ХФА
69,"Компрессорная станция №69",compressor,MT-03,45.606854,75.619659,1961,09Г2С
70,"Кран запорный №70",crane,MT-03,49.589916,73.248421,1976,17Г1С
71,"Задвижка №71",crane,MT-03,46.006418,75.217323,1999,13ХФА
72,"Кран подвесной №72",crane,MT-03,50.994411,71.517069,2008,20А
73,"Переход подводный №73",pipeline_section,MT-02,49.376461,63.084284,1999,20А
74,"Переход подводный №74",pipeline_section,MT-02,44.579902,51.436573,1973,17Г1С
75,"Узел запуска СОД №75",pipeline_section,MT-01,47.189624,52.378442,1989,10Г2
76,"Нагнетатель ГПА №76",compressor,MT-01,51.875459,60.717312,1981,13ХФА
77,"Переход надземный №77",pipeline_section,MT-03,46.622513,74.974394,1993,09Г2С
78,"Узел запуска СОД №78",pipeline_section,MT-01,50.741603,58.138426,2003,Ст3
79,"Переход подводный №79",pipeline_section,MT-02,45.389659,51.583304,1976,13ХФА
80,"Участок трубопровода №80",pipeline_section,MT-01,52.556847,62.228615,2012,10Г2
