diag_id,object_id,method,date,temperature,humidity,illumination,defect_found,defect_description,quality_grade,param1,param2,param3,ml_label
1,1,UTWM,2024-05-07,30.7,34.4,203,true,"Локальная коррозия",недопустимо,,,,high
2,1,RGK,2023-10-14,-12.6,88.5,176,false,"",удовлетворительно,,,,normal
3,2,MFL,2022-04-23,20.9,34.6,439,false,"",удовлетворительно,2.3,93,,normal
4,2,MFL,2021-06-09,30.3,33.4,629,false,"",допустимо,19.6,40,,normal
5,3,UZK,2021-08-17,8.1,68.3,318,true,"Внутренняя коррозия",требует_мер,13.13,3.34,,medium
6,3,VIBRO,2022-05-27,-0.1,33.4,860,false,"",удовлетворительно,2.7,120.7,,normal
7,3,VIK,2024-06-02,38.5,80.8,745,false,"",допустимо,28.37,,,normal
8,4,VIBRO,2024-11-21,-13,30.8,132,false,"",допустимо,12.68,447.4,,normal
9,4,UTWM,2022-02-10,14.2,35.7,634,true,"Критическая потеря толщины",требует_мер,,,,high
10,4,GEO,2020-05-16,16.3,54.4,841,false,"",удовлетворительно,,,,normal
11,5,UTWM,2024-03-02,8.4,69.5,479,false,"",удовлетворительно,41.66,,,normal
12,5,TFI,2022-07-19,19.5,84.3,188,false,"",удовлетворительно,7.8,,,normal
13,5,UTWM,2021-05-04,-7.5,48.5,332,true,"Незначительное отклонение",удовлетворительно,48.5,,,normal
14,6,PVK,2020-04-18,0.2,41.5,152,true,"Незначительное отклонение",допустимо,,,,normal
15,6,VIBRO,2022-12-29,4.2,64.2,548,true,"Повышенная вибрация",требует_мер,1.67,53.9,,medium
16,7,MPK,2021-11-05,7.7,35.4,174,true,"Скопление дефектов",недопустимо,,,,high
17,7,MFL,2021-07-31,-7.5,64.5,168,false,"",удовлетворительно,19.6,32,,normal
18,7,VIBRO,2021-02-17,8.1,34.3,831,true,"Незначительное отклонение",удовлетворительно,6.84,234.1,,normal
19,7,VIBRO,2022-01-06,32.4,61.2,592,true,"Износ подшипников",требует_мер,18.57,128.3,,high
20,8,TVK,2023-11-06,3.9,54.3,361,false,"",удовлетворительно,90.78,,,normal
21,8,MPK,2020-08-20,-9,69.1,914,false,"",удовлетворительно,,,,normal
22,9,UTWM,2023-07-10,18,88.8,696,false,"",допустимо,,,,normal
23,9,PVK,2020-08-16,28.6,32.3,125,true,"Подповерхностная трещина",недопустимо,,,,high
24,9,GEO,2021-11-15,22.2,48.5,158,true,"Осадка грунта",недопустимо,67.81,,,high
25,10,MPK,2023-05-05,27.8,53,932,false,"",удовлетворительно,16.61,,,normal
