diag_id,object_id,method,date,temperature,humidity,illumination,defect_found,defect_description,quality_grade,param1,param2,param3,ml_label
1,2,RGK,2020-04-30,15.3,78,752,false,"",допустимо,11.32,,,normal
2,2,UZK,2024-12-03,15.4,49.9,522,false,"",допустимо,13.13,3.34,,medium
3,3,MFL,2021-04-23,16.6,53,232,false,"",удовлетворительно,12.1,66,,normal
4,4,TVK,2020-03-11,27.7,47,773,true,"Зона перегрева",недопустимо,,,,high
5,4,PVK,2024-03-29,22.1,87.4,667,false,"",удовлетворительно,,,,normal
6,4,VIBRO,2020-09-09,-19.2,32.1,207,true,"Износ подшипников",недопустимо,17.5,317,,high
7,4,UTWM,2023-05-15,-14.3,65.6,753,true,"Локальная коррозия",требует_мер,,,,high
8,4,GEO,2020-06-12,16.3,54.4,841,false,"",удовлетворительно,,,,normal
9,5,VIBRO,2022-08-21,7.2,80.8,526,false,"",удовлетворительно,17.67,503,,normal
10,5,MFL,2023-10-22,27.4,61.1,692,false,"",допустимо,21,100,,normal
11,5,GEO,2024-11-13,9.1,87.4,480,true,"Незначительное отклонение",допустимо,,,,medium
12,5,VIK,2021-07-10,8.5,48,196,false,"",допустимо,,,,medium
13,7,VIK,2021-12-28,-8.5,33.5,534,false,"",допустимо,26.37,,,normal
14,8,VIBRO,2021-08-28,16.5,54.2,613,true,"Незначительное отклонение",допустимо,1.67,53.9,,medium
15,8,TVK,2025-06-07,19.5,52.5,516,false,"",допустимо,11.85,,,medium
16,8,VIK,2021-11-28,27.6,80.5,272,false,"",удовлетворительно,,,,normal
17,8,UZK,2023-08-06,0.5,56.9,881,false,"",допустимо,8.12,2.87,,medium
18,8,UTWM,2020-06-05,28.8,38.7,596,false,"",допустимо,,,,medium
19,9,UTWM,2022-06-05,32.4,61.2,592,true,"Незначительное отклонение",допустимо,,,,medium
20,9,UZK,2025-09-02,13,77,458,false,"",удовлетворительно,17.75,2.52,,normal
21,10,RGK,2020-06-10,37.1,70.3,588,false,"",допустимо,,,,medium
22,10,PVK,2024-05-28,36,41.9,318,false,"",удовлетворительно,,,,normal
23,10,MPK,2023-12-03,-12.1,38.9,536,false,"",удовлетворительно,,,,normal
24,10,VIBRO,2020-07-16,30.5,60.1,710,true,"Незначительное отклонение",допустимо,3.49,73.6,,normal
25,10,VIBRO,2020-08-15,7,41.5,997,false,"",удовлетворительно,7.49,200.5,,normal
